Constituency,Region,Con,Lab,UKIP,LD,SNP,Grn,DUP,PC,SF,UUP,SDLP,Alliance,Ind,Spk,Others,ValidVotes,WinningParty,SecondPlace,WinningVotes,SecondPlaceVotes,WinningPct,Majority,MajorityPct,TurnoutPct2015,RemainPct,LeavePct,LeaveMajority,2017_winner
North Swindon,South West England,26295.0,14509.0,8011.0,1704.0,,1723.0,,,,,,,,,,52242,Conservative,Labour,26295,14509,50.3,11786,22.56,64.5,42.6,57.4,14.8,Conservative
North Thanet,South East England,23045.0,8411.0,12097.0,1645.0,,1719.0,,,,,,,,,136.0,47053,Conservative,UKIP,23045,12097,49.0,10948,23.27,66.7,35.1,64.9,29.8,Conservative
North Tyneside,North East England,8997.0,26191.0,7618.0,2075.0,,1442.0,,,,,,,,,495.0,46818,Labour,Conservative,26191,8997,55.9,17194,36.73,59.0,40.7,59.3,18.6,Labour
North Warwickshire,West Midlands,20042.0,17069.0,8256.0,978.0,,894.0,,,,,,,,,138.0,47377,Conservative,Labour,20042,17069,42.3,2973,6.28,67.5,32.3,67.7,35.4,Conservative
North Wiltshire,South West England,28938.0,4930.0,5813.0,7892.0,,2350.0,,,,,,,,,633.0,50556,Conservative,Liberal Democrat,28938,7892,57.2,21046,41.63,74.5,49.7,50.3,0.6,Conservative
Northampton North,East Midlands,16699.0,13454.0,6354.0,1401.0,,1503.0,,,,,,,,,,39411,Conservative,Labour,16699,13454,42.4,3245,8.23,66.6,39.4,60.6,21.2,Conservative
Northampton South,East Midlands,16163.0,12370.0,7114.0,1673.0,,1403.0,,,,,,,,,161.0,38884,Conservative,Labour,16163,12370,41.6,3793,9.75,63.4,40.4,59.6,19.2,Conservative
Norwich North,East of England,19052.0,14589.0,5986.0,1894.0,,1939.0,,,,,,,,,132.0,43592,Conservative,Labour,19052,14589,43.7,4463,10.24,66.9,42.7,57.3,14.6,Conservative
Norwich South,East of England,11379.0,19033.0,4539.0,6607.0,,6749.0,,,,,,,,,156.0,48463,Labour,Conservative,19033,11379,39.3,7654,15.79,64.7,59.8,40.2,-19.6,Labour
Nottingham East,East Midlands,7314.0,19208.0,3501.0,1475.0,,3473.0,,,,,,,,,238.0,35209,Labour,Conservative,19208,7314,54.6,11894,33.78,58.2,57.1,42.9,-14.2,Labour
Nottingham North,East Midlands,7423.0,19283.0,6542.0,847.0,,1088.0,,,,,,,,,160.0,35343,Labour,Conservative,19283,7423,54.6,11860,33.56,53.6,36.2,63.8,27.6,Labour
Nottingham South,East Midlands,13761.0,20697.0,4900.0,1532.0,,2345.0,,,,,,,,,230.0,43465,Labour,Conservative,20697,13761,47.6,6936,15.96,63.0,53.5,46.5,-7.0,Labour
Nuneaton,West Midlands,20827.0,15945.0,6582.0,816.0,,1281.0,,,,,,,,,298.0,45749,Conservative,Labour,20827,15945,45.5,4882,10.67,67.2,35.3,64.7,29.4,Conservative
North West Cambridgeshire,East of England,32070.0,10927.0,12275.0,3479.0,,2159.0,,,,,,,,,190.0,61100,Conservative,UKIP,32070,12275,52.5,19795,32.4,66.6,43.1,56.9,13.8,Conservative
North West Durham,North East England,10018.0,20074.0,7265.0,3894.0,,1567.0,,,,,,,,,,42818,Labour,Conservative,20074,10018,46.9,10056,23.49,61.3,45.1,54.9,9.8,Labour
North West Hampshire,South East England,32052.0,7342.0,8109.0,5151.0,,2541.0,,,,,,,,,,55195,Conservative,UKIP,32052,8109,58.1,23943,43.38,69.7,45.5,54.5,9.0,Conservative
North West Leicestershire,East Midlands,25505.0,14132.0,8704.0,2033.0,,1174.0,,,,,,,,,,51548,Conservative,Labour,25505,14132,49.5,11373,22.06,71.4,39.3,60.7,21.4,Conservative
North West Norfolk,East of England,24727.0,10779.0,8412.0,1673.0,,1780.0,,,,,,,,,,47371,Conservative,Labour,24727,10779,52.2,13948,29.44,65.4,33.9,66.1,32.2,Conservative
Ochil and South Perthshire,Scotland,11987.0,16452.0,1331.0,1481.0,26620.0,,,,,,,,,,,57871,SNP,Labour,26620,16452,46.0,10168,17.57,74.8,60.8,39.2,-21.6,Conservative
Ogmore,Wales,5620.0,18663.0,5420.0,1072.0,,754.0,,3556.0,,,,,,,165.0,35250,Labour,Conservative,18663,5620,52.9,13043,37.0,63.7,40.3,59.7,19.4,Labour
Old Bexley and Sidcup,London,24682.0,8879.0,8528.0,1644.0,,1336.0,,,,,,,1216.0,,463.0,46748,Conservative,Labour,24682,8879,52.8,15803,33.8,70.8,36.8,63.1,26.3,Conservative
Oldham East and Saddleworth,North West England,11527.0,17529.0,8557.0,5718.0,,1152.0,,,,,,,,,,44483,Labour,Conservative,17529,11527,39.4,6002,13.49,61.8,40.1,59.9,19.8,Labour
Oldham West and Royton,North West England,8187.0,23630.0,8892.0,1589.0,,839.0,,,,,,,,,,43137,Labour,UKIP,23630,8892,54.8,14738,34.17,59.6,37.9,62.1,24.2,Labour
Orkney and Shetland,Scotland,2025.0,1624.0,1082.0,9407.0,8590.0,,,,,,,,,,,22728,Liberal Democrat,SNP,9407,8590,41.4,817,3.59,65.8,59.7,40.3,-19.4,Liberal Democrat
Orpington,London,28152.0,7645.0,8173.0,3330.0,,1732.0,,,,,,,,,,49032,Conservative,UKIP,28152,8173,57.4,19979,40.75,72.0,42.5,57.5,15.0,Conservative
Oxford East,South East England,10076.0,25356.0,3451.0,5453.0,,5890.0,,,,,,,,,463.0,50689,Labour,Conservative,25356,10076,50.0,15280,30.14,64.2,67.7,32.3,-35.4,Labour
Oxford West and Abingdon,South East England,26153.0,7274.0,3963.0,16571.0,,2497.0,,,,,,,,,789.0,57247,Conservative,Liberal Democrat,26153,16571,45.7,9582,16.74,71.8,61.9,38.1,-23.8,Liberal Democrat
Paisley and Renfrewshire North,Scotland,6183.0,16525.0,,1055.0,25601.0,703.0,,,,,,,,,395.0,50462,SNP,Labour,25601,16525,50.7,9076,17.99,76.2,64.0,36.0,-28.0,SNP
Paisley and Renfrewshire South,Scotland,3526.0,17864.0,,1010.0,23548.0,,,,,,,,,,278.0,46226,SNP,Labour,23548,17864,50.9,5684,12.3,75.4,65.9,34.1,-31.8,SNP
Pendle,North West England,20978.0,15525.0,5415.0,1487.0,,1043.0,,,,,,,,,,44448,Conservative,Labour,20978,15525,47.2,5453,12.27,68.7,36.8,63.2,26.4,Conservative
Penistone and Stocksbridge,Yorkshire and the Humber,12968.0,19691.0,10738.0,2957.0,,,,,,,,,,,500.0,46854,Labour,Conservative,19691,12968,42.0,6723,14.35,65.9,38.7,61.3,22.6,Labour
Penrith and The Border,North West England,26202.0,6308.0,5353.0,3745.0,,2313.0,,,,,,,,,,43921,Conservative,Labour,26202,6308,59.7,19894,45.29,67.4,44.7,55.3,10.6,Conservative
Perth and North Perthshire,Scotland,17738.0,4413.0,1110.0,2059.0,27379.0,1146.0,,,,,,,355.0,,,54200,SNP,Conservative,27379,17738,50.5,9641,17.79,74.8,59.9,40.1,-19.8,SNP
Peterborough,East of England,18684.0,16759.0,7485.0,1774.0,,1218.0,,,,,,,,,1155.0,47075,Conservative,Labour,18684,16759,39.7,1925,4.09,64.9,37.9,62.1,24.2,Labour
Plymouth Moor View,South West England,16020.0,14994.0,9152.0,1265.0,,1023.0,,,,,,,,,152.0,42606,Conservative,Labour,16020,14994,37.6,1026,2.41,62.6,33.6,66.4,32.8,Conservative
Plymouth Sutton and Devonport,South West England,18120.0,17597.0,6731.0,2008.0,,3401.0,,,,,,,,,106.0,47963,Conservative,Labour,18120,17597,37.8,523,1.09,65.3,45.6,54.4,8.8,Labour
Pontypridd,Wales,6569.0,15554.0,5085.0,4904.0,,992.0,,4348.0,,,,,,,430.0,37882,Labour,Conservative,15554,6569,41.1,8985,23.72,64.3,54.2,45.8,-8.4,Labour
Poole,South West England,23745.0,6102.0,7956.0,5572.0,,2198.0,,,,,,,,,1820.0,47393,Conservative,UKIP,23745,7956,50.1,15789,33.32,65.3,43.1,56.9,13.8,Conservative
Poplar and Limehouse,London,12962.0,29886.0,3128.0,2149.0,,2463.0,,,,,,,,,456.0,51044,Labour,Conservative,29886,12962,58.5,16924,33.16,62.2,65.9,34.1,-31.8,Labour
Portsmouth North,South East England,21343.0,10806.0,8660.0,2828.0,,1450.0,,,,,,,,,303.0,45390,Conservative,Labour,21343,10806,47.0,10537,23.21,62.1,36.4,63.6,27.2,Conservative
Portsmouth South,South East England,14585.0,8184.0,5595.0,9344.0,,3145.0,,,,,,,716.0,,334.0,41903,Conservative,Liberal Democrat,14585,9344,34.8,5241,12.51,58.5,48.2,51.8,3.6,Labour
Preseli Pembrokeshire,Wales,16383.0,11414.0,4257.0,780.0,,1452.0,,2518.0,,,,,3729.0,,23.0,40556,Conservative,Labour,16383,11414,40.4,4969,12.25,70.7,44.3,55.7,11.4,Conservative
Preston,North West England,6688.0,18755.0,5139.0,1244.0,,1643.0,,,,,,,,,,33469,Labour,Conservative,18755,6688,56.0,12067,36.05,55.8,43.2,56.8,13.6,Labour
Pudsey,Yorkshire and the Humber,23637.0,19136.0,4689.0,1926.0,,1539.0,,,,,,,,,,50927,Conservative,Labour,23637,19136,46.4,4501,8.84,72.2,51.7,48.3,-3.4,Conservative
Putney,London,23018.0,12838.0,1989.0,2717.0,,2067.0,,,,,,,,,184.0,42813,Conservative,Labour,23018,12838,53.8,10180,23.78,67.0,73.2,26.8,-46.4,Conservative
Rayleigh and Wickford,East of England,29088.0,6705.0,11858.0,1622.0,,1529.0,,,,,,,,,2418.0,53220,Conservative,UKIP,29088,11858,54.7,17230,32.38,68.3,32.2,67.8,35.6,Conservative
Reading East,South East England,23217.0,16697.0,3647.0,3719.0,,3214.0,,,,,,,,,,50494,Conservative,Labour,23217,16697,46.0,6520,12.91,67.6,61.8,38.2,-23.6,Labour
Reading West,South East England,23082.0,16432.0,4826.0,2355.0,,1406.0,,,,,,,,,303.0,48404,Conservative,Labour,23082,16432,47.7,6650,13.74,66.9,47.4,52.6,5.2,Conservative
Redcar,North East England,6630.0,17946.0,7516.0,7558.0,,880.0,,,,,,,,,389.0,40919,Labour,Liberal Democrat,17946,7558,43.9,10388,25.39,63.1,32.5,67.5,35.0,Labour
Redditch,West Midlands,20771.0,13717.0,7133.0,1349.0,,960.0,,,,,,,,,168.0,44098,Conservative,Labour,20771,13717,47.1,7054,16.0,67.3,38.6,61.4,22.8,Conservative
Reigate,South East England,29151.0,6578.0,6817.0,5369.0,,3434.0,,,,,,,,,,51349,Conservative,UKIP,29151,6817,56.8,22334,43.49,69.9,52.3,47.7,-4.6,Conservative
Rhondda,Wales,2116.0,15976.0,3998.0,474.0,,453.0,,8521.0,,,,,,,,31538,Labour,Plaid Cymru,15976,8521,50.7,7455,23.64,60.9,38.8,61.2,22.4,Labour
Ribble Valley,North West England,25404.0,11798.0,8250.0,2756.0,,2193.0,,,,,,,,,1842.0,52243,Conservative,Labour,25404,11798,48.6,13606,26.04,67.1,41.4,58.6,17.2,Conservative
Richmond (Yorks),Yorkshire and the Humber,27744.0,7124.0,8194.0,3465.0,,2313.0,,,,,,,3348.0,,1811.0,53999,Conservative,UKIP,27744,8194,51.4,19550,36.2,64.7,45.4,54.6,9.2,Conservative
Richmond Park,London,34404.0,7296.0,2464.0,11389.0,,3548.0,,,,,,,,,,59101,Conservative,Liberal Democrat,34404,11389,58.2,23015,38.94,76.5,73.3,27.7,-45.6,Conservative
Rochdale,North West England,7742.0,20961.0,8519.0,4667.0,,1382.0,,,,,,,1535.0,,624.0,45430,Labour,UKIP,20961,8519,46.1,12442,27.39,57.4,42.5,57.5,15.0,Labour
Rochester and Strood,South East England,23142.0,10396.0,16009.0,1251.0,,1516.0,,,,,,,,,202.0,52516,Conservative,UKIP,23142,16009,44.1,7133,13.58,66.5,36.3,63.7,27.4,Conservative
Rochford and Southend East,East of England,20241.0,10765.0,8948.0,1459.0,,2195.0,,,,,,,,,,43608,Conservative,Labour,20241,10765,46.4,9476,21.73,60.6,39.6,60.4,20.8,Conservative
Romford,London,25067.0,10268.0,11208.0,1413.0,,1222.0,,,,,,,,,,49178,Conservative,UKIP,25067,11208,51.0,13859,28.18,67.7,30.8,69.2,38.4,Conservative
Romsey and Southampton North,South East England,26285.0,5749.0,5511.0,8573.0,,2280.0,,,,,,,,,,48398,Conservative,Liberal Democrat,26285,8573,54.3,17712,36.6,72.8,54.2,45.8,-8.4,Conservative
"Ross, Skye and Lochaber",Scotland,2598.0,2043.0,814.0,14995.0,20119.0,1051.0,,,,,,,191.0,,,41811,SNP,Liberal Democrat,20119,14995,48.1,5124,12.26,77.2,56.7,43.3,-13.4,SNP
Rossendale and Darwen,North West England,22847.0,17193.0,6862.0,806.0,,1046.0,,,,,,,,,270.0,49024,Conservative,Labour,22847,17193,46.6,5654,11.53,58.4,41.5,58.5,17.0,Conservative
Rother Valley,Yorkshire and the Humber,10945.0,20501.0,13204.0,1992.0,,,,,,,,,,,377.0,47019,Labour,UKIP,20501,13204,43.6,7297,15.52,63.3,33.3,66.7,33.4,Labour
Rotherham,Yorkshire and the Humber,4656.0,19860.0,11414.0,1093.0,,,,,,,,,,,800.0,37823,Labour,UKIP,19860,11414,52.5,8446,22.33,59.4,31.7,68.3,36.6,Labour
Rugby,West Midlands,24040.0,13695.0,6855.0,2776.0,,1415.0,,,,,,,,,225.0,49006,Conservative,Labour,24040,13695,49.1,10345,21.11,61.6,41.7,58.3,16.6,Conservative
"Ruislip, Northwood and Pinner",London,30521.0,10297.0,5598.0,2537.0,,1801.0,,,,,,,,,468.0,51222,Conservative,Labour,30521,10297,59.6,20224,39.48,70.0,51.0,49.0,-2.0,Conservative
Runnymede and Weybridge,South East England,29901.0,7767.0,6951.0,3362.0,,2071.0,,,,,,,,,,50052,Conservative,Labour,29901,7767,59.7,22134,44.22,67.9,50.2,49.8,-0.4,Conservative
Rushcliffe,East Midlands,28354.0,14525.0,5943.0,2783.0,,3559.0,,,,,,,,,,55164,Conservative,Labour,28354,14525,51.4,13829,25.07,75.3,58.7,41.3,-17.4,Conservative
Rutherglen and Hamilton West,Scotland,4350.0,20304.0,1301.0,1045.0,30279.0,,,,,,,,,,336.0,57615,SNP,Labour,30279,20304,52.6,9975,17.31,69.6,62.7,37.3,-25.4,Labour
Rutland and Melton,East Midlands,30383.0,8383.0,8678.0,4407.0,,2325.0,,,,,,,,,427.0,54603,Conservative,UKIP,30383,8678,55.6,21705,39.75,68.4,46.1,53.9,7.8,Conservative
Saffron Walden,East of England,32926.0,6791.0,7935.0,6079.0,,2174.0,,,,,,,,,1658.0,57563,Conservative,UKIP,32926,7935,57.2,24991,43.42,71.4,49.1,50.9,1.8,Conservative
Salford and Eccles,North West England,8823.0,21364.0,7806.0,1614.0,,2251.0,,,,,,,,,1403.0,43261,Labour,Conservative,21364,8823,49.4,12541,28.99,58.2,46.4,53.6,7.2,Labour
Salisbury,South West England,28192.0,7771.0,6152.0,5099.0,,2762.0,,,,,,,,,729.0,50705,Conservative,Labour,28192,7771,55.6,20421,40.27,72.9,49.7,50.3,0.6,Conservative
Scarborough and Whitby,Yorkshire and the Humber,20613.0,14413.0,8162.0,2159.0,,2185.0,,,,,,,,,207.0,47739,Conservative,Labour,20613,14413,43.2,6200,12.99,64.9,38.7,61.3,22.6,Conservative
Scunthorpe,Yorkshire and the Humber,12259.0,15393.0,6329.0,770.0,,887.0,,,,,,,1097.0,,206.0,36941,Labour,Conservative,15393,12259,41.7,3134,8.48,57.7,31.0,69.0,38.0,Labour
Sedgefield,North East England,11432.0,18275.0,6426.0,1370.0,,1213.0,,,,,,,,,,38716,Labour,Conservative,18275,11432,47.2,6843,17.67,61.6,41.1,58.9,17.8,Labour
South East Cambridgeshire,East of England,28845.0,9013.0,6593.0,12008.0,,3047.0,,,,,,,,,,59506,Conservative,Liberal Democrat,28845,12008,48.5,16837,28.29,70.4,55.1,44.9,-10.2,Conservative
South East Cornwall,South West England,25516.0,4692.0,7698.0,8521.0,0.0,2718.0,,,,,,,0.0,,1353.0,50498,Conservative,Liberal Democrat,25516,8521,50.5,16995,33.65,71.1,41.7,58.3,16.6,Conservative
Sefton Central,North West England,14513.0,26359.0,4879.0,2086.0,,1184.0,,,,,,,,,,49021,Labour,Conservative,26359,14513,53.8,11846,24.17,72.4,54.9,45.1,-9.8,Labour
Selby and Ainsty,Yorkshire and the Humber,27725.0,14168.0,7389.0,1920.0,,1465.0,,,,,,,,,137.0,52804,Conservative,Labour,27725,14168,52.5,13557,25.67,69.4,42.4,57.6,15.2,Conservative
Sevenoaks,South East England,28531.0,6448.0,8970.0,3937.0,,2238.0,,,,,,,,,,50124,Conservative,UKIP,28531,8970,56.9,19561,39.03,70.9,46.2,53.8,7.6,Conservative
Sheffield Central,Yorkshire and the Humber,4917.0,24308.0,3296.0,4278.0,,6999.0,,,,,,,,,375.0,44173,Labour,Green,24308,6999,55.0,17309,39.18,57.4,69.6,30.4,-39.2,Labour
Sheffield South East,Yorkshire and the Humber,7242.0,21439.0,9128.0,2226.0,,1117.0,,,,,,,,,533.0,41685,Labour,UKIP,21439,9128,51.4,12311,29.53,59.2,33.6,66.4,32.8,Labour
Sheffield Brightside and Hillsborough,Yorkshire and the Humber,4407.0,22663.0,8856.0,1802.0,,1712.0,,,,,,,,,613.0,40053,Labour,UKIP,22663,8856,56.6,13807,34.47,54.8,38.6,61.4,22.8,Labour
Sheffield Hallam,Yorkshire and the Humber,7544.0,19862.0,3575.0,22215.0,,1772.0,,,,,,,97.0,,416.0,55481,Liberal Democrat,Labour,22215,19862,40.0,2353,4.24,75.3,64.1,35.9,-28.2,Labour
Sheffield Heeley,Yorkshire and the Humber,6792.0,20269.0,7315.0,4746.0,,2566.0,,,,,,,,,360.0,42048,Labour,UKIP,20269,7315,48.2,12954,30.81,60.7,42.4,57.6,15.2,Labour
Sherwood,East Midlands,22833.0,18186.0,7399.0,1094.0,,1108.0,,,,,,,,,78.0,50698,Conservative,Labour,22833,18186,45.0,4647,9.17,69.1,36.3,63.7,27.4,Conservative
Shipley,Yorkshire and the Humber,25269.0,15645.0,4479.0,1949.0,,2657.0,,,,,,,,,543.0,50542,Conservative,Labour,25269,15645,50.0,9624,19.04,71.7,48.5,51.5,3.0,Conservative
Shrewsbury and Atcham,West Midlands,24628.0,15063.0,7813.0,4268.0,,2247.0,,,,,,,,,83.0,54102,Conservative,Labour,24628,15063,45.5,9565,17.68,70.8,47.0,53.0,6.0,Conservative
Sittingbourne and Sheppey,South East England,24425.0,9673.0,12257.0,1563.0,,1185.0,,,,,,,,,275.0,49378,Conservative,UKIP,24425,12257,49.5,12168,24.64,65.0,34.3,65.7,31.4,Conservative
Skipton and Ripon,Yorkshire and the Humber,30248.0,9487.0,7651.0,4057.0,,3116.0,,,,,,,,,,54559,Conservative,Labour,30248,9487,55.4,20761,38.05,71.6,47.0,53.0,6.0,Conservative
Sleaford and North Hykeham,East Midlands,34805.0,10690.0,9716.0,3500.0,,,,,,,,,,,3233.0,61944,Conservative,Labour,34805,10690,56.2,24115,38.93,70.2,38.5,61.5,23.0,Conservative
Slough,South East England,16085.0,23421.0,6274.0,1275.0,,1220.0,,,,,,,,,,48275,Labour,Conservative,23421,16085,48.5,7336,15.2,55.9,46.1,53.9,7.8,Labour
Solihull,West Midlands,26956.0,5693.0,6361.0,14054.0,,1632.0,,,,,,,,,83.0,54779,Conservative,Liberal Democrat,26956,14054,49.2,12902,23.55,70.9,46.7,53.3,6.6,Conservative
Somerton and Frome,South West England,31960.0,4419.0,6439.0,11692.0,,5434.0,,,,,,,,,365.0,60309,Conservative,Liberal Democrat,31960,11692,53.0,20268,33.61,72.2,49.1,50.9,1.8,Conservative
South Antrim,Northern Ireland,415.0,,,,,,10993.0,,4699.0,11942.0,2990.0,3576.0,,,1908.0,36523,Ulster Unionist,Democratic Unionist,11942,10993,32.7,949,2.6,54.2,49.4,50.6,1.2,Democratic Unionist
South Basildon and East Thurrock,East of England,19788.0,11493.0,12097.0,1356.0,,,,,,,,,606.0,,253.0,45593,Conservative,UKIP,19788,12097,43.4,7691,16.87,62.3,27.0,73.0,46.0,Conservative
South Cambridgeshire,East of England,31454.0,10860.0,6010.0,9368.0,,3848.0,,,,,,,,,,61540,Conservative,Labour,31454,10860,51.1,20594,33.46,73.1,61.6,38.4,-23.2,Conservative
South Derbyshire,East Midlands,25066.0,13595.0,8998.0,1887.0,,1216.0,,,,,,,,,,50762,Conservative,Labour,25066,13595,49.4,11471,22.6,68.2,39.7,60.3,20.6,Conservative
South Dorset,South West England,23756.0,11762.0,7304.0,2901.0,,2275.0,,,,,,,,,599.0,48597,Conservative,Labour,23756,11762,48.9,11994,24.68,67.5,40.6,59.4,18.8,Conservative
South Down,Northern Ireland,318.0,,3044.0,,,,3486.0,,12186.0,3964.0,18077.0,1622.0,,,,42697,SDLP,Sinn Fein,18077,12186,42.3,5891,13.8,56.8,67.2,32.8,-34.4,Sinn Fein
South Holland and The Deepings,East Midlands,29303.0,6122.0,10736.0,1466.0,,1580.0,,,,,,,,,,49207,Conservative,UKIP,29303,10736,59.6,18567,37.73,63.9,28.9,71.1,42.2,Conservative
South Leicestershire,East Midlands,28700.0,11876.0,9363.0,3987.0,,,,,,,,,,,,53926,Conservative,Labour,28700,11876,53.2,16824,31.2,70.1,41.8,58.2,16.4,Conservative
South Norfolk,East of England,30995.0,10502.0,7847.0,4689.0,,3090.0,,,,,,,,,,57123,Conservative,Labour,30995,10502,54.3,20493,35.88,72.4,48.9,51.1,2.2,Conservative
South Northamptonshire,East Midlands,36607.0,10191.0,8204.0,3613.0,,2247.0,,,,,,,,,,60862,Conservative,Labour,36607,10191,60.1,26416,43.4,71.5,47.4,52.6,5.2,Conservative
South Ribble,North West England,24313.0,18368.0,7377.0,2312.0,,,,,,,,,,,,52370,Conservative,Labour,24313,18368,46.4,5945,11.35,68.5,43.2,56.8,13.6,Conservative
South Shields,North East England,6021.0,18589.0,7975.0,639.0,,1614.0,,,,,,,1427.0,,,36265,Labour,UKIP,18589,7975,51.3,10614,29.27,57.8,37.9,62.1,24.2,Labour
South Staffordshire,West Midlands,29478.0,9107.0,8267.0,1448.0,,1298.0,,,,,,,,,,49598,Conservative,Labour,29478,9107,59.4,20371,41.07,58.9,34.8,65.2,30.4,Conservative
South Suffolk,East of England,27546.0,10001.0,7897.0,4044.0,,2253.0,,,,,,,,,166.0,51907,Conservative,Labour,27546,10001,53.1,17545,33.8,70.9,45.9,54.1,8.2,Conservative
South Swindon,South West England,22777.0,16992.0,5920.0,1817.0,,1757.0,,,,,,,,,,49263,Conservative,Labour,22777,16992,46.2,5785,11.74,66.6,48.5,51.5,3.0,Conservative
South Thanet,South East England,18838.0,11740.0,16026.0,932.0,,1076.0,,,,,,,61.0,,728.0,49401,Conservative,UKIP,18838,16026,38.1,2812,5.69,70.4,38.4,61.6,23.2,Conservative
Southampton Itchen,South East England,18656.0,16340.0,6010.0,1595.0,,1876.0,,,,,,,,,233.0,44710,Conservative,Labour,18656,16340,41.7,2316,5.18,61.8,40.1,59.9,19.8,Conservative
Southampton Test,South East England,14207.0,18017.0,5566.0,2121.0,,2568.0,,,,,,,,,1173.0,43652,Labour,Conservative,18017,14207,41.3,3810,8.73,62.1,49.4,50.6,1.2,Labour
Southend West,East of England,22175.0,8154.0,7803.0,4129.0,,2083.0,,,,,,,,,165.0,44509,Conservative,Labour,22175,8154,49.8,14021,31.5,66.6,45.0,55.0,10.0,Conservative
Southport,North West England,12330.0,8468.0,7429.0,13652.0,,1230.0,,,,,,,,,992.0,44101,Liberal Democrat,Conservative,13652,12330,31.0,1322,3.0,65.5,54.5,45.5,-9.0,Conservative
Spelthorne,South East England,24386.0,9114.0,10234.0,3163.0,,1724.0,,,,,,,,,458.0,49079,Conservative,UKIP,24386,10234,49.7,14152,28.84,68.6,39.7,60.3,20.6,Conservative
St Albans,East of England,25392.0,12660.0,4271.0,10076.0,,2034.0,,,,,,,,,,54433,Conservative,Labour,25392,12660,46.6,12732,23.39,75.1,62.6,37.4,-25.2,Conservative
St Austell and Newquay,South West England,20250.0,5150.0,8503.0,12077.0,,2318.0,,,,,,,,,2063.0,50361,Conservative,Liberal Democrat,20250,12077,40.2,8173,16.23,65.7,37.6,62.4,24.8,Conservative
St Helens North,North West England,9087.0,26378.0,6983.0,2046.0,,1762.0,,,,,,,,,,46256,Labour,Conservative,26378,9087,57.0,17291,37.38,61.5,41.8,58.2,16.4,Labour
St Helens South and Whiston,North West England,7707.0,28950.0,6766.0,2737.0,,2237.0,,,,,,,,,,48397,Labour,Conservative,28950,7707,59.8,21243,43.89,62.3,43.9,56.1,12.2,Labour
St Ives,South West England,18491.0,4510.0,5720.0,16022.0,,3051.0,,,,,,,,,518.0,48312,Conservative,Liberal Democrat,18491,16022,38.3,2469,5.11,73.7,45.8,54.2,8.4,Conservative
Stafford,West Midlands,23606.0,14429.0,6293.0,1348.0,,1390.0,,,,,,,1701.0,,,48767,Conservative,Labour,23606,14429,48.4,9177,18.82,71.0,42.8,57.2,14.4,Conservative
Staffordshire Moorlands,West Midlands,21770.0,11596.0,6236.0,1759.0,,1226.0,,,,,,,,,,42587,Conservative,Labour,21770,11596,51.1,10174,23.89,67.5,35.5,64.5,29.0,Conservative
Stalybridge and Hyde,North West England,11761.0,18447.0,7720.0,1256.0,,1850.0,,,,,,,,,,41034,Labour,Conservative,18447,11761,45.0,6686,16.29,59.4,40.7,59.3,18.6,Labour
Stevenage,East of England,21291.0,16336.0,6864.0,1582.0,,1369.0,,,,,,,,,357.0,47799,Conservative,Labour,21291,16336,44.5,4955,10.37,67.7,42.9,57.1,14.2,Conservative
Stirling,Scotland,12051.0,13303.0,,1392.0,23783.0,1606.0,,,,,,,,,,52135,SNP,Labour,23783,13303,45.6,10480,20.1,77.5,67.7,32.3,-35.4,Conservative
Stockport,North West England,9710.0,19771.0,5206.0,3034.0,,1753.0,,,,,,,,,175.0,39649,Labour,Conservative,19771,9710,49.9,10061,25.38,62.0,53.2,46.8,-6.4,Labour
Stockton North,North East England,11069.0,19436.0,7581.0,884.0,,,,,,,,,,,601.0,39571,Labour,Conservative,19436,11069,49.1,8367,21.14,59.8,33.5,66.5,33.0,Labour
Stockton South,North East England,24221.0,19175.0,5480.0,1366.0,,952.0,,,,,,,,,603.0,51797,Conservative,Labour,24221,19175,46.8,5046,9.74,69.0,42.2,57.8,15.6,Labour
Stoke-on-Trent Central,West Midlands,7008.0,12220.0,7041.0,1296.0,,1123.0,,,,,,,2120.0,,276.0,31084,Labour,UKIP,12220,7041,39.3,5179,16.66,49.9,35.0,65.0,30.0,Labour
Stoke-on-Trent North,West Midlands,10593.0,15429.0,9542.0,1137.0,,1091.0,,,,,,,,,862.0,38654,Labour,Conservative,15429,10593,39.9,4836,12.51,53.2,27.9,72.1,44.2,Labour
Stoke-on-Trent South,West Midlands,12780.0,15319.0,8298.0,1309.0,,1029.0,,,,,,,,,372.0,39107,Labour,Conservative,15319,12780,39.2,2539,6.49,56.9,29.2,70.8,41.6,Conservative
Stone,West Midlands,25733.0,9483.0,7620.0,2473.0,,1191.0,,,,,,,,,531.0,47031,Conservative,Labour,25733,9483,54.7,16250,34.55,69.8,42.0,58.0,16.0,Conservative
Stourbridge,West Midlands,21195.0,14501.0,7774.0,1538.0,,1021.0,,,,,,,,,,46029,Conservative,Labour,21195,14501,46.0,6694,14.54,66.6,36.4,63.6,27.2,Conservative
Strangford,Northern Ireland,2167.0,,2237.0,,,,15053.0,,876.0,4868.0,2335.0,4687.0,,,1701.0,33924,Democratic Unionist,Ulster Unionist,15053,4868,44.4,10185,30.02,52.8,44.5,55.5,11.0,Democratic Unionist
Stratford-on-Avon,West Midlands,29674.0,6677.0,6798.0,6182.0,,2128.0,,,,,,,,,,51459,Conservative,UKIP,29674,6798,57.7,22876,44.45,72.6,48.9,51.1,2.2,Conservative
